technology,type,power_gw,energy_gwh,duration_hours,bus
PHS,Storage Unit,7.2418059999999995,35.831429931064726,4.947858300963148,DE0 0
H2 Store,Store,75.05319542620259,31120.79457204593,414.64982796963,DE0 0 H2
battery,Store,40.219381800904934,392.59642932962754,9.761374037847448,DE0 0 battery
home battery,Store,5.730183610196029,20.82663712765812,3.6345497010951178,DE0 0 home battery
